configurations,generic format,exact frequency,google pixel format,exact frequencies,phone energy,phone power,workload,energy by workload
110331-1-2,[1- 1- 0- 3- 3- 1- 1- 0- 0- 2- 0- 0- 0],[576000- 576000- 0- 1804800- 1804800- 576000- 0- 0- 0- 1766400- 0- 0- 0],[1- 1- 0- 3- 3- 1- 1- 2],[576000- 576000- 0- 1804800- 1804800- 576000- 652800- 1766400],64.195799103128,1870.27221337168,887774000000,7.2311E-11
231322-1-0,[2- 3- 1- 3- 2- 2- 1- 0- 0- 0- 0- 0- 0],[1363200- 1804800- 576000- 1804800- 1363200- 1363200- 0- 0- 0- 0- 0- 0- 0],[2- 3- 1- 3- 2- 2- 1- 0],[1363200- 1804800- 576000- 1804800- 1363200- 1363200- 652800- 0],48.4114598927455,1442.18368563072,768047000000,6.30319E-11
203111-3-3,[2- 0- 3- 1- 1- 1- 3- 0- 0- 3- 0- 0- 0],[1363200- 0- 1804800- 576000- 576000- 576000- 0- 0- 0- 2400000- 0- 0- 0],[2- 0- 3- 1- 1- 1- 3- 3],[1363200- 0- 1804800- 576000- 576000- 576000- 2208000- 2400000],82.9156109905908,2370.44595570604,1124420000000,7.37408E-11
222211-3-3,[2- 2- 2- 2- 1- 1- 3- 0- 0- 3- 0- 0- 0],[1363200- 1363200- 1363200- 1363200- 576000- 576000- 0- 0- 0- 2400000- 0- 0- 0],[2- 2- 2- 2- 1- 1- 3- 3],[1363200- 1363200- 1363200- 1363200- 576000- 576000- 2208000- 2400000],100.207122447555,2815.56321728583,1264290000000,7.92596E-11
001213-3-1,[0- 0- 1- 2- 1- 3- 3- 0- 0- 1- 0- 0- 0],[0- 0- 576000- 1363200- 576000- 1804800- 0- 0- 0- 806400- 0- 0- 0],[0- 0- 1- 2- 1- 3- 3- 1],[0- 0- 576000- 1363200- 576000- 1804800- 2208000- 806400],82.9689480595376,2387.89201304909,1137720000000,7.29256E-11
033331-1-2,[0- 3- 3- 3- 3- 1- 1- 0- 0- 2- 0- 0- 0],[0- 1804800- 1804800- 1804800- 1804800- 576000- 0- 0- 0- 1766400- 0- 0- 0],[0- 3- 3- 3- 3- 1- 1- 2],[0- 1804800- 1804800- 1804800- 1804800- 576000- 652800- 1766400],64.6497062836685,1880.86289806615,888481000000,7.27643E-11
301032-1-2,[3- 0- 1- 0- 3- 2- 1- 0- 0- 2- 0- 0- 0],[1804800- 0- 576000- 0- 1804800- 1363200- 0- 0- 0- 1766400- 0- 0- 0],[3- 0- 1- 0- 3- 2- 1- 2],[1804800- 0- 576000- 0- 1804800- 1363200- 652800- 1766400],73.9118250482876,2126.96235327462,1063630000000,6.94902E-11
220030-2-2,[2- 2- 0- 0- 3- 0- 2- 0- 0- 2- 0- 0- 0],[1363200- 1363200- 0- 0- 1804800- 0- 0- 0- 0- 1766400- 0- 0- 0],[2- 2- 0- 0- 3- 0- 2- 2],[1363200- 1363200- 0- 0- 1804800- 0- 1478400- 1766400],72.9096660218277,2103.12260612319,1027130000000,7.09839E-11
221230-3-0,[2- 2- 1- 2- 3- 0- 3- 0- 0- 0- 0- 0- 0],[1363200- 1363200- 576000- 1363200- 1804800- 0- 0- 0- 0- 0- 0- 0- 0],[2- 2- 1- 2- 3- 0- 3- 0],[1363200- 1363200- 576000- 1363200- 1804800- 0- 2208000- 0],58.2884375590111,1697.69138927978,727308000000,8.01427E-11
323210-1-0,[3- 2- 3- 2- 1- 0- 1- 0- 0- 0- 0- 0- 0],[1804800- 1363200- 1804800- 1363200- 576000- 0- 0- 0- 0- 0- 0- 0- 0],[3- 2- 3- 2- 1- 0- 1- 0],[1804800- 1363200- 1804800- 1363200- 576000- 0- 652800- 0],32.3869731002721,983.335465202881,385836000000,8.39397E-11
110321-0-0,[1- 1- 0- 3- 2- 1- 0- 0- 0- 0- 0- 0- 0],[576000- 576000- 0- 1804800- 1363200- 576000- 0- 0- 0- 0- 0- 0- 0],[1- 1- 0- 3- 2- 1- 0- 0],[576000- 576000- 0- 1804800- 1363200- 576000- 0- 0],26.7121133566337,809.085756656435,207423000000,1.28781E-10
102232-0-2,[1- 0- 2- 2- 3- 2- 0- 0- 0- 2- 0- 0- 0],[576000- 0- 1363200- 1363200- 1804800- 1363200- 0- 0- 0- 1766400- 0- 0- 0],[1- 0- 2- 2- 3- 2- 0- 2],[576000- 0- 1363200- 1363200- 1804800- 1363200- 0- 1766400],65.8277383833758,1937.36044398195,988207000000,6.66133E-11
231113-1-1,[2- 3- 1- 1- 1- 3- 1- 0- 0- 1- 0- 0- 0],[1363200- 1804800- 576000- 576000- 576000- 1804800- 0- 0- 0- 806400- 0- 0- 0],[2- 3- 1- 1- 1- 3- 1- 1],[1363200- 1804800- 576000- 576000- 576000- 1804800- 652800- 806400],79.3851939063441,2275.0068767092,1194980000000,6.64322E-11
121010-3-1,[1- 2- 1- 0- 1- 0- 3- 0- 0- 1- 0- 0- 0],[576000- 1363200- 576000- 0- 576000- 0- 0- 0- 0- 806400- 0- 0- 0],[1- 2- 1- 0- 1- 0- 3- 1],[576000- 1363200- 576000- 0- 576000- 0- 2208000- 806400],70.2667978545078,2027.02256037143,898390000000,7.82141E-11
311021-1-3,[3- 1- 1- 0- 2- 1- 1- 0- 0- 3- 0- 0- 0],[1804800- 576000- 576000- 0- 1363200- 576000- 0- 0- 0- 2400000- 0- 0- 0],[3- 1- 1- 0- 2- 1- 1- 3],[1804800- 576000- 576000- 0- 1363200- 576000- 652800- 2400000],81.3667303591789,2322.68084468145,968465000000,8.40162E-11
101123-0-3,[1- 0- 1- 1- 2- 3- 0- 0- 0- 3- 0- 0- 0],[576000- 0- 576000- 576000- 1363200- 1804800- 0- 0- 0- 2400000- 0- 0- 0],[1- 0- 1- 1- 2- 3- 0- 3],[576000- 0- 576000- 576000- 1363200- 1804800- 0- 2400000],83.5550372075793,2400.84690966198,1092070000000,7.65107E-11
033033-1-1,[0- 3- 3- 0- 3- 3- 1- 0- 0- 1- 0- 0- 0],[0- 1804800- 1804800- 0- 1804800- 1804800- 0- 0- 0- 806400- 0- 0- 0],[0- 3- 3- 0- 3- 3- 1- 1],[0- 1804800- 1804800- 0- 1804800- 1804800- 652800- 806400],65.4051401275013,1917.99172614488,930263000000,7.03082E-11
323111-3-1,[3- 2- 3- 1- 1- 1- 3- 0- 0- 1- 0- 0- 0],[1804800- 1363200- 1804800- 576000- 576000- 576000- 0- 0- 0- 806400- 0- 0- 0],[3- 2- 3- 1- 1- 1- 3- 1],[1804800- 1363200- 1804800- 576000- 576000- 576000- 2208000- 806400],71.6230294037093,2102.50506161077,979622000000,7.31129E-11
231332-2-3,[2- 3- 1- 3- 3- 2- 2- 0- 0- 3- 0- 0- 0],[1363200- 1804800- 576000- 1804800- 1804800- 1363200- 0- 0- 0- 2400000- 0- 0- 0],[2- 3- 1- 3- 3- 2- 2- 3],[1363200- 1804800- 576000- 1804800- 1804800- 1363200- 1478400- 2400000],102.719273058889,2883.50279639025,1520280000000,6.7566E-11
121113-1-3,[1- 2- 1- 1- 1- 3- 1- 0- 0- 3- 0- 0- 0],[576000- 1363200- 576000- 576000- 576000- 1804800- 0- 0- 0- 2400000- 0- 0- 0],[1- 2- 1- 1- 1- 3- 1- 3],[576000- 1363200- 576000- 576000- 576000- 1804800- 652800- 2400000],91.8755525545871,2608.88945358657,1334240000000,6.88598E-11
012010-2-1,[0- 1- 2- 0- 1- 0- 2- 0- 0- 1- 0- 0- 0],[0- 576000- 1363200- 0- 576000- 0- 0- 0- 0- 806400- 0- 0- 0],[0- 1- 2- 0- 1- 0- 2- 1],[0- 576000- 1363200- 0- 576000- 0- 1478400- 806400],54.7592147928153,1604.63609091677,743914000000,7.36096E-11
213113-3-3,[2- 1- 3- 1- 1- 3- 3- 0- 0- 3- 0- 0- 0],[1363200- 576000- 1804800- 576000- 576000- 1804800- 0- 0- 0- 2400000- 0- 0- 0],[2- 1- 3- 1- 1- 3- 3- 3],[1363200- 576000- 1804800- 576000- 576000- 1804800- 2208000- 2400000],103.605542776513,2902.91249278236,1585470000000,6.53469E-11
110030-0-1,[1- 1- 0- 0- 3- 0- 0- 0- 0- 1- 0- 0- 0],[576000- 576000- 0- 0- 1804800- 0- 0- 0- 0- 806400- 0- 0- 0],[1- 1- 0- 0- 3- 0- 0- 1],[576000- 576000- 0- 0- 1804800- 0- 0- 806400],34.2448289317877,1015.17835728213,340358000000,1.00614E-10
113131-2-3,[1- 1- 3- 1- 3- 1- 2- 0- 0- 3- 0- 0- 0],[576000- 576000- 1804800- 576000- 1804800- 576000- 0- 0- 0- 2400000- 0- 0- 0],[1- 1- 3- 1- 3- 1- 2- 3],[576000- 576000- 1804800- 576000- 1804800- 576000- 1478400- 2400000],96.2036865454932,2724.73766457732,1219380000000,7.88956E-11
312331-2-2,[3- 1- 2- 3- 3- 1- 2- 0- 0- 2- 0- 0- 0],[1804800- 576000- 1363200- 1804800- 1804800- 576000- 0- 0- 0- 1766400- 0- 0- 0],[3- 1- 2- 3- 3- 1- 2- 2],[1804800- 576000- 1363200- 1804800- 1804800- 576000- 1478400- 1766400],72.979973067832,2101.56054771559,1156550000000,6.31014E-11
033333-0-2,[0- 3- 3- 3- 3- 3- 0- 0- 0- 2- 0- 0- 0],[0- 1804800- 1804800- 1804800- 1804800- 1804800- 0- 0- 0- 1766400- 0- 0- 0],[0- 3- 3- 3- 3- 3- 0- 2],[0- 1804800- 1804800- 1804800- 1804800- 1804800- 0- 1766400],86.2801902841026,2479.16965493647,1160190000000,7.43673E-11
013210-1-1,[0- 1- 3- 2- 1- 0- 1- 0- 0- 1- 0- 0- 0],[0- 576000- 1804800- 1363200- 576000- 0- 0- 0- 0- 806400- 0- 0- 0],[0- 1- 3- 2- 1- 0- 1- 1],[0- 576000- 1804800- 1363200- 576000- 0- 652800- 806400],39.2183051603058,1161.33586277289,564900000000,6.94252E-11
223033-0-0,[2- 2- 3- 0- 3- 3- 0- 0- 0- 0- 0- 0- 0],[1363200- 1363200- 1804800- 0- 1804800- 1804800- 0- 0- 0- 0- 0- 0- 0],[2- 2- 3- 0- 3- 3- 0- 0],[1363200- 1363200- 1804800- 0- 1804800- 1804800- 0- 0],55.6549041743458,1645.80870241519,658846000000,8.44733E-11
001200-2-2,[0- 0- 1- 2- 0- 0- 2- 0- 0- 2- 0- 0- 0],[0- 0- 576000- 1363200- 0- 0- 0- 0- 0- 1766400- 0- 0- 0],[0- 0- 1- 2- 0- 0- 2- 2],[0- 0- 576000- 1363200- 0- 0- 1478400- 1766400],70.0078582686629,2024.0442334743,972109000000,7.20165E-11
013210-3-1,[0- 1- 3- 2- 1- 0- 3- 0- 0- 1- 0- 0- 0],[0- 576000- 1804800- 1363200- 576000- 0- 0- 0- 0- 806400- 0- 0- 0],[0- 1- 3- 2- 1- 0- 3- 1],[0- 576000- 1804800- 1363200- 576000- 0- 2208000- 806400],79.1921814190437,2285.78262097144,940710000000,8.41834E-11
300102-3-0,[3- 0- 0- 1- 0- 2- 3- 0- 0- 0- 0- 0- 0],[1804800- 0- 0- 576000- 0- 1363200- 0- 0- 0- 0- 0- 0- 0],[3- 0- 0- 1- 0- 2- 3- 0],[1804800- 0- 0- 576000- 0- 1363200- 2208000- 0],65.7590425822352,1919.52303565257,813702000000,8.08147E-11
211331-0-2,[2- 1- 1- 3- 3- 1- 0- 0- 0- 2- 0- 0- 0],[1363200- 576000- 576000- 1804800- 1804800- 576000- 0- 0- 0- 1766400- 0- 0- 0],[2- 1- 1- 3- 3- 1- 0- 2],[1363200- 576000- 576000- 1804800- 1804800- 576000- 0- 1766400],56.046315848522,1640.68698477595,752107000000,7.45191E-11
230023-3-0,[2- 3- 0- 0- 2- 3- 3- 0- 0- 0- 0- 0- 0],[1363200- 1804800- 0- 0- 1363200- 1804800- 0- 0- 0- 0- 0- 0- 0],[2- 3- 0- 0- 2- 3- 3- 0],[1363200- 1804800- 0- 0- 1363200- 1804800- 2208000- 0],83.5387640803202,2402.35158644902,1051920000000,7.94155E-11
212202-2-1,[2- 1- 2- 2- 0- 2- 2- 0- 0- 1- 0- 0- 0],[1363200- 576000- 1363200- 1363200- 0- 1363200- 0- 0- 0- 806400- 0- 0- 0],[2- 1- 2- 2- 0- 2- 2- 1],[1363200- 576000- 1363200- 1363200- 0- 1363200- 1478400- 806400],70.0487654332769,2030.08258217072,1135860000000,6.16702E-11
010023-0-1,[0- 1- 0- 0- 2- 3- 0- 0- 0- 1- 0- 0- 0],[0- 576000- 0- 0- 1363200- 1804800- 0- 0- 0- 806400- 0- 0- 0],[0- 1- 0- 0- 2- 3- 0- 1],[0- 576000- 0- 0- 1363200- 1804800- 0- 806400],52.6346324100534,1553.81893903511,610977000000,8.61483E-11
012112-2-0,[0- 1- 2- 1- 1- 2- 2- 0- 0- 0- 0- 0- 0],[0- 576000- 1363200- 576000- 576000- 1363200- 0- 0- 0- 0- 0- 0- 0],[0- 1- 2- 1- 1- 2- 2- 0],[0- 576000- 1363200- 576000- 576000- 1363200- 1478400- 0],57.2873551037916,1681.14102018075,901273000000,6.35627E-11
303122-3-1,[3- 0- 3- 1- 2- 2- 3- 0- 0- 1- 0- 0- 0],[1804800- 0- 1804800- 576000- 1363200- 1363200- 0- 0- 0- 806400- 0- 0- 0],[3- 0- 3- 1- 2- 2- 3- 1],[1804800- 0- 1804800- 576000- 1363200- 1363200- 2208000- 806400],87.1615988005907,2488.12104456201,1230950000000,7.08084E-11
332113-2-2,[3- 3- 2- 1- 1- 3- 2- 0- 0- 2- 0- 0- 0],[1804800- 1804800- 1363200- 576000- 576000- 1804800- 0- 0- 0- 1766400- 0- 0- 0],[3- 3- 2- 1- 1- 3- 2- 2],[1804800- 1804800- 1363200- 576000- 576000- 1804800- 1478400- 1766400],102.945501098208,2894.90136313869,1567090000000,6.56921E-11
322231-2-1,[3- 2- 2- 2- 3- 1- 2- 0- 0- 1- 0- 0- 0],[1804800- 1363200- 1363200- 1363200- 1804800- 576000- 0- 0- 0- 806400- 0- 0- 0],[3- 2- 2- 2- 3- 1- 2- 1],[1804800- 1363200- 1363200- 1363200- 1804800- 576000- 1478400- 806400],58.6922029582491,1711.06751069328,880803000000,6.66349E-11
103311-2-1,[1- 0- 3- 3- 1- 1- 2- 0- 0- 1- 0- 0- 0],[576000- 0- 1804800- 1804800- 576000- 576000- 0- 0- 0- 806400- 0- 0- 0],[1- 0- 3- 3- 1- 1- 2- 1],[576000- 0- 1804800- 1804800- 576000- 576000- 1478400- 806400],57.3205072294823,1685.70755018442,847131000000,6.76643E-11
100110-0-2,[1- 0- 0- 1- 1- 0- 0- 0- 0- 2- 0- 0- 0],[576000- 0- 0- 576000- 576000- 0- 0- 0- 0- 1766400- 0- 0- 0],[1- 0- 0- 1- 1- 0- 0- 2],[576000- 0- 0- 576000- 576000- 0- 0- 1766400],51.630790443296,1528.04381309481,603622000000,8.5535E-11
212300-1-2,[2- 1- 2- 3- 0- 0- 1- 0- 0- 2- 0- 0- 0],[1363200- 576000- 1363200- 1804800- 0- 0- 0- 0- 0- 1766400- 0- 0- 0],[2- 1- 2- 3- 0- 0- 1- 2],[1363200- 576000- 1363200- 1804800- 0- 0- 652800- 1766400],62.9526389384084,1833.10211178646,841124000000,7.48435E-11
000300-2-3,[0- 0- 0- 3- 0- 0- 2- 0- 0- 3- 0- 0- 0],[0- 0- 0- 1804800- 0- 0- 0- 0- 0- 2400000- 0- 0- 0],[0- 0- 0- 3- 0- 0- 2- 3],[0- 0- 0- 1804800- 0- 0- 1478400- 2400000],90.2662722413003,2565.13281505654,998659000000,9.03875E-11
030310-0-2,[0- 3- 0- 3- 1- 0- 0- 0- 0- 2- 0- 0- 0],[0- 1804800- 0- 1804800- 576000- 0- 0- 0- 0- 1766400- 0- 0- 0],[0- 3- 0- 3- 1- 0- 0- 2],[0- 1804800- 0- 1804800- 576000- 0- 0- 1766400],52.6902862777189,1546.22117763269,611588000000,8.61532E-11
331220-1-2,[3- 3- 1- 2- 2- 0- 1- 0- 0- 2- 0- 0- 0],[1804800- 1804800- 576000- 1363200- 1363200- 0- 0- 0- 0- 1766400- 0- 0- 0],[3- 3- 1- 2- 2- 0- 1- 2],[1804800- 1804800- 576000- 1363200- 1363200- 0- 652800- 1766400],64.6001284096528,1877.82946371119,889727000000,7.26067E-11
233212-0-1,[2- 3- 3- 2- 1- 2- 0- 0- 0- 1- 0- 0- 0],[1363200- 1804800- 1804800- 1363200- 576000- 1363200- 0- 0- 0- 806400- 0- 0- 0],[2- 3- 3- 2- 1- 2- 0- 1],[1363200- 1804800- 1804800- 1363200- 576000- 1363200- 0- 806400],52.1245882760953,1531.43386542136,816621000000,6.38296E-11
310233-0-1,[3- 1- 0- 2- 3- 3- 0- 0- 0- 1- 0- 0- 0],[1804800- 576000- 0- 1363200- 1804800- 1804800- 0- 0- 0- 806400- 0- 0- 0],[3- 1- 0- 2- 3- 3- 0- 1],[1804800- 576000- 0- 1363200- 1804800- 1804800- 0- 806400],65.8461101285994,1928.85601521739,885729000000,7.43411E-11
031030-0-3,[0- 3- 1- 0- 3- 0- 0- 0- 0- 3- 0- 0- 0],[0- 1804800- 576000- 0- 1804800- 0- 0- 0- 0- 2400000- 0- 0- 0],[0- 3- 1- 0- 3- 0- 0- 3],[0- 1804800- 576000- 0- 1804800- 0- 0- 2400000],67.1483257685157,1943.78292174215,698028000000,9.61972E-11
031130-0-0,[0- 3- 1- 1- 3- 0- 0- 0- 0- 0- 0- 0- 0],[0- 1804800- 576000- 576000- 1804800- 0- 0- 0- 0- 0- 0- 0- 0],[0- 3- 1- 1- 3- 0- 0- 0],[0- 1804800- 576000- 576000- 1804800- 0- 0- 0],26.7184846004408,800.836388138237,163295000000,1.63621E-10
101033-2-2,[1- 0- 1- 0- 3- 3- 2- 0- 0- 2- 0- 0- 0],[576000- 0- 576000- 0- 1804800- 1804800- 0- 0- 0- 1766400- 0- 0- 0],[1- 0- 1- 0- 3- 3- 2- 2],[576000- 0- 576000- 0- 1804800- 1804800- 1478400- 1766400],99.1199512733933,2791.58802523125,1392390000000,7.11869E-11
101312-2-1,[1- 0- 1- 3- 1- 2- 2- 0- 0- 1- 0- 0- 0],[576000- 0- 576000- 1804800- 576000- 1363200- 0- 0- 0- 806400- 0- 0- 0],[1- 0- 1- 3- 1- 2- 2- 1],[576000- 0- 576000- 1804800- 576000- 1363200- 1478400- 806400],71.5812859564726,2061.58217530693,1122870000000,6.37485E-11
212211-1-2,[2- 1- 2- 2- 1- 1- 1- 0- 0- 2- 0- 0- 0],[1363200- 576000- 1363200- 1363200- 576000- 576000- 0- 0- 0- 1766400- 0- 0- 0],[2- 1- 2- 2- 1- 1- 1- 2],[1363200- 576000- 1363200- 1363200- 576000- 576000- 652800- 1766400],66.3842172994299,1910.09080494196,918121000000,7.23044E-11
103012-3-3,[1- 0- 3- 0- 1- 2- 3- 0- 0- 3- 0- 0- 0],[576000- 0- 1804800- 0- 576000- 1363200- 0- 0- 0- 2400000- 0- 0- 0],[1- 0- 3- 0- 1- 2- 3- 3],[576000- 0- 1804800- 0- 576000- 1363200- 2208000- 2400000],90.7376428641244,2577.66725877269,1277590000000,7.10225E-11
101300-3-3,[1- 0- 1- 3- 0- 0- 3- 0- 0- 3- 0- 0- 0],[576000- 0- 576000- 1804800- 0- 0- 0- 0- 0- 2400000- 0- 0- 0],[1- 0- 1- 3- 0- 0- 3- 3],[576000- 0- 576000- 1804800- 0- 0- 2208000- 2400000],75.3849371705881,2175.34856199377,928850000000,8.11594E-11
220213-3-0,[2- 2- 0- 2- 1- 3- 3- 0- 0- 0- 0- 0- 0],[1363200- 1363200- 0- 1363200- 576000- 1804800- 0- 0- 0- 0- 0- 0- 0],[2- 2- 0- 2- 1- 3- 3- 0],[1363200- 1363200- 0- 1363200- 576000- 1804800- 2208000- 0],69.1154876227722,2003.34695779363,1002220000000,6.89624E-11
221013-2-1,[2- 2- 1- 0- 1- 3- 2- 0- 0- 1- 0- 0- 0],[1363200- 1363200- 576000- 0- 576000- 1804800- 0- 0- 0- 806400- 0- 0- 0],[2- 2- 1- 0- 1- 3- 2- 1],[1363200- 1363200- 576000- 0- 576000- 1804800- 1478400- 806400],79.5378105979585,2284.63404237756,1198670000000,6.63551E-11
223020-1-0,[2- 2- 3- 0- 2- 0- 1- 0- 0- 0- 0- 0- 0],[1363200- 1363200- 1804800- 0- 1363200- 0- 0- 0- 0- 0- 0- 0- 0],[2- 2- 3- 0- 2- 0- 1- 0],[1363200- 1363200- 1804800- 0- 1363200- 0- 652800- 0],32.3911267160719,972.157094387194,340610000000,9.50974E-11
201133-0-3,[2- 0- 1- 1- 3- 3- 0- 0- 0- 3- 0- 0- 0],[1363200- 0- 576000- 576000- 1804800- 1804800- 0- 0- 0- 2400000- 0- 0- 0],[2- 0- 1- 1- 3- 3- 0- 3],[1363200- 0- 576000- 576000- 1804800- 1804800- 0- 2400000],86.4225033041374,2480.74125598788,1109700000000,7.78792E-11
111202-3-1,[1- 1- 1- 2- 0- 2- 3- 0- 0- 1- 0- 0- 0],[576000- 576000- 576000- 1363200- 0- 1363200- 0- 0- 0- 806400- 0- 0- 0],[1- 1- 1- 2- 0- 2- 3- 1],[576000- 576000- 576000- 1363200- 0- 1363200- 2208000- 806400],77.6142915980758,2223.75481515976,1173790000000,6.61228E-11
311111-2-3,[3- 1- 1- 1- 1- 1- 2- 0- 0- 3- 0- 0- 0],[1804800- 576000- 576000- 576000- 576000- 576000- 0- 0- 0- 2400000- 0- 0- 0],[3- 1- 1- 1- 1- 1- 2- 3],[1804800- 576000- 576000- 576000- 576000- 576000- 1478400- 2400000],80.579674343825,2304.09668122715,1148220000000,7.01779E-11
212221-1-3,[2- 1- 2- 2- 2- 1- 1- 0- 0- 3- 0- 0- 0],[1363200- 576000- 1363200- 1363200- 1363200- 576000- 0- 0- 0- 2400000- 0- 0- 0],[2- 1- 2- 2- 2- 1- 1- 3],[1363200- 576000- 1363200- 1363200- 1363200- 576000- 652800- 2400000],71.2294033945321,2051.42727541455,942341000000,7.55877E-11
121310-1-0,[1- 2- 1- 3- 1- 0- 1- 0- 0- 0- 0- 0- 0],[576000- 1363200- 576000- 1804800- 576000- 0- 0- 0- 0- 0- 0- 0- 0],[1- 2- 1- 3- 1- 0- 1- 0],[576000- 1363200- 576000- 1804800- 576000- 0- 652800- 0],33.5555977111976,1008.27016173545,384524000000,8.72653E-11
133032-0-3,[1- 3- 3- 0- 3- 2- 0- 0- 0- 3- 0- 0- 0],[576000- 1804800- 1804800- 0- 1804800- 1363200- 0- 0- 0- 2400000- 0- 0- 0],[1- 3- 3- 0- 3- 2- 0- 3],[576000- 1804800- 1804800- 0- 1804800- 1363200- 0- 2400000],78.8740772526803,2267.8568071095,1050630000000,7.50731E-11
310020-0-3,[3- 1- 0- 0- 2- 0- 0- 0- 0- 3- 0- 0- 0],[1804800- 576000- 0- 0- 1363200- 0- 0- 0- 0- 2400000- 0- 0- 0],[3- 1- 0- 0- 2- 0- 0- 3],[1804800- 576000- 0- 0- 1363200- 0- 0- 2400000],63.3690752564047,1829.75861327323,677060000000,9.35945E-11
022230-3-2,[0- 2- 2- 2- 3- 0- 3- 0- 0- 2- 0- 0- 0],[0- 1363200- 1363200- 1363200- 1804800- 0- 0- 0- 0- 1766400- 0- 0- 0],[0- 2- 2- 2- 3- 0- 3- 2],[0- 1363200- 1363200- 1363200- 1804800- 0- 2208000- 1766400],79.7127969833484,2290.15074169285,1097340000000,7.26418E-11
