configurations,generic format,exact frequency,google pixel format,exact frequencies,phone energy,phone power,workload,energy by workload
203132-1-0,[2- 0- 3- 1- 3- 2- 1- 0- 0- 0- 0- 0- 0],[1363200- 0- 1804800- 576000- 1804800- 1363200- 0- 0- 0- 0- 0- 0- 0],[2- 0- 3- 1- 3- 2- 1- 0],[1363200- 0- 1804800- 576000- 1804800- 1363200- 652800- 0],44.0672441700072,1321.8612944609,668521000000,6.59175E-11
011221-2-1,[0- 1- 1- 2- 2- 1- 2- 0- 0- 1- 0- 0- 0],[0- 576000- 576000- 1363200- 1363200- 576000- 0- 0- 0- 806400- 0- 0- 0],[0- 1- 1- 2- 2- 1- 2- 1],[0- 576000- 576000- 1363200- 1363200- 576000- 1478400- 806400],54.9134481539672,1617.61572019261,819865000000,6.69786E-11
310331-2-0,[3- 1- 0- 3- 3- 1- 2- 0- 0- 0- 0- 0- 0],[1804800- 576000- 0- 1804800- 1804800- 576000- 0- 0- 0- 0- 0- 0- 0],[3- 1- 0- 3- 3- 1- 2- 0],[1804800- 576000- 0- 1804800- 1804800- 576000- 1478400- 0],44.3851855395692,1323.94006135988,621300000000,7.14392E-11
213313-3-2,[2- 1- 3- 3- 1- 3- 3- 0- 0- 2- 0- 0- 0],[1363200- 576000- 1804800- 1804800- 576000- 1804800- 0- 0- 0- 1766400- 0- 0- 0],[2- 1- 3- 3- 1- 3- 3- 2],[1363200- 576000- 1804800- 1804800- 576000- 1804800- 2208000- 1766400],112.252246650916,3114.47717676695,1644520000000,6.82584E-11
331213-0-3,[3- 3- 1- 2- 1- 3- 0- 0- 0- 3- 0- 0- 0],[1804800- 1804800- 576000- 1363200- 576000- 1804800- 0- 0- 0- 2400000- 0- 0- 0],[3- 3- 1- 2- 1- 3- 0- 3],[1804800- 1804800- 576000- 1363200- 576000- 1804800- 0- 2400000],89.0597439439495,2528.0126146004,1209910000000,7.36086E-11
130100-1-3,[1- 3- 0- 1- 0- 0- 1- 0- 0- 3- 0- 0- 0],[576000- 1804800- 0- 576000- 0- 0- 0- 0- 0- 2400000- 0- 0- 0],[1- 3- 0- 1- 0- 0- 1- 3],[576000- 1804800- 0- 576000- 0- 0- 652800- 2400000],77.6226342959476,2245.57120948842,870626000000,8.91573E-11
120131-2-0,[1- 2- 0- 1- 3- 1- 2- 0- 0- 0- 0- 0- 0],[576000- 1363200- 0- 576000- 1804800- 576000- 0- 0- 0- 0- 0- 0- 0],[1- 2- 0- 1- 3- 1- 2- 0],[576000- 1363200- 0- 576000- 1804800- 576000- 1478400- 0],45.342545639677,1346.25144155264,622642000000,7.28228E-11
022011-1-0,[0- 2- 2- 0- 1- 1- 1- 0- 0- 0- 0- 0- 0],[0- 1363200- 1363200- 0- 576000- 576000- 0- 0- 0- 0- 0- 0- 0],[0- 2- 2- 0- 1- 1- 1- 0],[0- 1363200- 1363200- 0- 576000- 576000- 652800- 0],31.3418994560934,936.950973087085,341243000000,9.18463E-11
100221-3-1,[1- 0- 0- 2- 2- 1- 3- 0- 0- 1- 0- 0- 0],[576000- 0- 0- 1363200- 1363200- 576000- 0- 0- 0- 806400- 0- 0- 0],[1- 0- 0- 2- 2- 1- 3- 1],[576000- 0- 0- 1363200- 1363200- 576000- 2208000- 806400],80.0526614822044,2308.23710094083,929019000000,8.6169E-11
020100-0-0,[0- 2- 0- 1- 0- 0- 0- 0- 0- 0- 0- 0- 0],[0- 1363200- 0- 576000- 0- 0- 0- 0- 0- 0- 0- 0- 0],[0- 2- 0- 1- 0- 0- 0- 0],[0- 1363200- 0- 576000- 0- 0- 0- 0],23.5175293800191,721.862597545539,77422300000,3.03757E-10
312302-3-0,[3- 1- 2- 3- 0- 2- 3- 0- 0- 0- 0- 0- 0],[1804800- 576000- 1363200- 1804800- 0- 1363200- 0- 0- 0- 0- 0- 0- 0],[3- 1- 2- 3- 0- 2- 3- 0],[1804800- 576000- 1363200- 1804800- 0- 1363200- 2208000- 0],76.6951102201836,2208.61867204852,1047870000000,7.31914E-11
323322-3-0,[3- 2- 3- 3- 2- 2- 3- 0- 0- 0- 0- 0- 0],[1804800- 1363200- 1804800- 1804800- 1363200- 1363200- 0- 0- 0- 0- 0- 0- 0],[3- 2- 3- 3- 2- 2- 3- 0],[1804800- 1363200- 1804800- 1804800- 1363200- 1363200- 2208000- 0],71.5079965571832,2086.15882477151,1103560000000,6.47976E-11
220023-2-1,[2- 2- 0- 0- 2- 3- 2- 0- 0- 1- 0- 0- 0],[1363200- 1363200- 0- 0- 1363200- 1804800- 0- 0- 0- 806400- 0- 0- 0],[2- 2- 0- 0- 2- 3- 2- 1],[1363200- 1363200- 0- 0- 1363200- 1804800- 1478400- 806400],84.777250997072,2431.20599679527,1167130000000,7.26374E-11
203300-2-2,[2- 0- 3- 3- 0- 0- 2- 0- 0- 2- 0- 0- 0],[1363200- 0- 1804800- 1804800- 0- 0- 0- 0- 0- 1766400- 0- 0- 0],[2- 0- 3- 3- 0- 0- 2- 2],[1363200- 0- 1804800- 1804800- 0- 0- 1478400- 1766400],72.5489714103032,2093.64289518736,1013330000000,7.15946E-11
322032-2-0,[3- 2- 2- 0- 3- 2- 2- 0- 0- 0- 0- 0- 0],[1804800- 1363200- 1363200- 0- 1804800- 1363200- 0- 0- 0- 0- 0- 0- 0],[3- 2- 2- 0- 3- 2- 2- 0],[1804800- 1363200- 1363200- 0- 1804800- 1363200- 1478400- 0],58.262720853322,1699.8367445321,904706000000,6.43996E-11
220322-3-2,[2- 2- 0- 3- 2- 2- 3- 0- 0- 2- 0- 0- 0],[1363200- 1363200- 0- 1804800- 1363200- 1363200- 0- 0- 0- 1766400- 0- 0- 0],[2- 2- 0- 3- 2- 2- 3- 2],[1363200- 1363200- 0- 1804800- 1363200- 1363200- 2208000- 1766400],98.0625210176743,2763.71855167368,1450630000000,6.76E-11
000111-3-0,[0- 0- 0- 1- 1- 1- 3- 0- 0- 0- 0- 0- 0],[0- 0- 0- 576000- 576000- 576000- 0- 0- 0- 0- 0- 0- 0],[0- 0- 0- 1- 1- 1- 3- 0],[0- 0- 0- 576000- 576000- 576000- 2208000- 0],49.4404352153497,1461.27237567664,595040000000,8.30876E-11
312001-2-2,[3- 1- 2- 0- 0- 1- 2- 0- 0- 2- 0- 0- 0],[1804800- 576000- 1363200- 0- 0- 576000- 0- 0- 0- 1766400- 0- 0- 0],[3- 1- 2- 0- 0- 1- 2- 2],[1804800- 576000- 1363200- 0- 0- 576000- 1478400- 1766400],74.8645087621987,2151.39161574162,1075050000000,6.96382E-11
010120-2-1,[0- 1- 0- 1- 2- 0- 2- 0- 0- 1- 0- 0- 0],[0- 576000- 0- 576000- 1363200- 0- 0- 0- 0- 806400- 0- 0- 0],[0- 1- 0- 1- 2- 0- 2- 1],[0- 576000- 0- 576000- 1363200- 0- 1478400- 806400],55.3938120911074,1629.50810378061,747522000000,7.41033E-11
331232-0-0,[3- 3- 1- 2- 3- 2- 0- 0- 0- 0- 0- 0- 0],[1804800- 1804800- 576000- 1363200- 1804800- 1363200- 0- 0- 0- 0- 0- 0- 0],[3- 3- 1- 2- 3- 2- 0- 0],[1804800- 1804800- 576000- 1363200- 1804800- 1363200- 0- 0],41.4528641815209,1242.26425895776,591275000000,7.01076E-11
300313-3-2,[3- 0- 0- 3- 1- 3- 3- 0- 0- 2- 0- 0- 0],[1804800- 0- 0- 1804800- 576000- 1804800- 0- 0- 0- 1766400- 0- 0- 0],[3- 0- 0- 3- 1- 3- 3- 2],[1804800- 0- 0- 1804800- 576000- 1804800- 2208000- 1766400],100.311184339352,2831.19713307578,1386980000000,7.23235E-11
212212-0-3,[2- 1- 2- 2- 1- 2- 0- 0- 0- 3- 0- 0- 0],[1363200- 576000- 1363200- 1363200- 576000- 1363200- 0- 0- 0- 2400000- 0- 0- 0],[2- 1- 2- 2- 1- 2- 0- 3],[1363200- 576000- 1363200- 1363200- 576000- 1363200- 0- 2400000],77.6487009668172,2228.22857493385,1127120000000,6.88912E-11
000200-2-1,[0- 0- 0- 2- 0- 0- 2- 0- 0- 1- 0- 0- 0],[0- 0- 0- 1363200- 0- 0- 0- 0- 0- 806400- 0- 0- 0],[0- 0- 0- 2- 0- 0- 2- 1],[0- 0- 0- 1363200- 0- 0- 1478400- 806400],53.677951058628,1581.42701475316,645068000000,8.32129E-11
331300-1-1,[3- 3- 1- 3- 0- 0- 1- 0- 0- 1- 0- 0- 0],[1804800- 1804800- 576000- 1804800- 0- 0- 0- 0- 0- 806400- 0- 0- 0],[3- 3- 1- 3- 0- 0- 1- 1],[1804800- 1804800- 576000- 1804800- 0- 0- 652800- 806400],39.9195324609141,1191.49828374389,562703000000,7.09425E-11
320030-0-1,[3- 2- 0- 0- 3- 0- 0- 0- 0- 1- 0- 0- 0],[1804800- 1363200- 0- 0- 1804800- 0- 0- 0- 0- 806400- 0- 0- 0],[3- 2- 0- 0- 3- 0- 0- 1],[1804800- 1363200- 0- 0- 1804800- 0- 0- 806400],33.4145827544387,999.81415357544,341795000000,9.77621E-11
211113-2-0,[2- 1- 1- 1- 1- 3- 2- 0- 0- 0- 0- 0- 0],[1363200- 576000- 576000- 576000- 576000- 1804800- 0- 0- 0- 0- 0- 0- 0],[2- 1- 1- 1- 1- 3- 2- 0],[1363200- 576000- 576000- 576000- 576000- 1804800- 1478400- 0],83.103378159748,2393.38185596364,1195420000000,6.95181E-11
230010-0-3,[2- 3- 0- 0- 1- 0- 0- 0- 0- 3- 0- 0- 0],[1363200- 1804800- 0- 0- 576000- 0- 0- 0- 0- 2400000- 0- 0- 0],[2- 3- 0- 0- 1- 0- 0- 3],[1363200- 1804800- 0- 0- 576000- 0- 0- 2400000],62.4324044343125,1825.30556607721,676237000000,9.23233E-11
110030-1-2,[1- 1- 0- 0- 3- 0- 1- 0- 0- 2- 0- 0- 0],[576000- 576000- 0- 0- 1804800- 0- 0- 0- 0- 1766400- 0- 0- 0],[1- 1- 0- 0- 3- 0- 1- 2],[576000- 576000- 0- 0- 1804800- 0- 652800- 1766400],62.4755025899128,1812.43557287185,792459000000,7.88375E-11
311112-3-0,[3- 1- 1- 1- 1- 2- 3- 0- 0- 0- 0- 0- 0],[1804800- 576000- 576000- 576000- 576000- 1363200- 0- 0- 0- 0- 0- 0- 0],[3- 1- 1- 1- 1- 2- 3- 0],[1804800- 576000- 576000- 576000- 576000- 1363200- 2208000- 0],68.8022036229322,2008.42150009888,1089440000000,6.31537E-11
211312-3-2,[2- 1- 1- 3- 1- 2- 3- 0- 0- 2- 0- 0- 0],[1363200- 576000- 576000- 1804800- 576000- 1363200- 0- 0- 0- 1766400- 0- 0- 0],[2- 1- 1- 3- 1- 2- 3- 2],[1363200- 576000- 576000- 1804800- 576000- 1363200- 2208000- 1766400],95.9288937521245,2702.35223678427,1496100000000,6.41193E-11
230102-0-1,[2- 3- 0- 1- 0- 2- 0- 0- 0- 1- 0- 0- 0],[1363200- 1804800- 0- 576000- 0- 1363200- 0- 0- 0- 806400- 0- 0- 0],[2- 3- 0- 1- 0- 2- 0- 1],[1363200- 1804800- 0- 576000- 0- 1363200- 0- 806400],43.9976841972795,1326.19698498,616183000000,7.14036E-11
231030-3-2,[2- 3- 1- 0- 3- 0- 3- 0- 0- 2- 0- 0- 0],[1363200- 1804800- 576000- 0- 1804800- 0- 0- 0- 0- 1766400- 0- 0- 0],[2- 3- 1- 0- 3- 0- 3- 2],[1363200- 1804800- 576000- 0- 1804800- 0- 2208000- 1766400],82.3838251863148,2357.57116283977,1115930000000,7.38253E-11
232011-1-1,[2- 3- 2- 0- 1- 1- 1- 0- 0- 1- 0- 0- 0],[1363200- 1804800- 1363200- 0- 576000- 576000- 0- 0- 0- 806400- 0- 0- 0],[2- 3- 2- 0- 1- 1- 1- 1],[1363200- 1804800- 1363200- 0- 576000- 576000- 652800- 806400],41.794008855435,1238.95092696265,609225000000,6.86019E-11
303320-3-0,[3- 0- 3- 3- 2- 0- 3- 0- 0- 0- 0- 0- 0],[1804800- 0- 1804800- 1804800- 1363200- 0- 0- 0- 0- 0- 0- 0- 0],[3- 0- 3- 3- 2- 0- 3- 0],[1804800- 0- 1804800- 1804800- 1363200- 0- 2208000- 0],55.1955872410731,1609.20385279534,666775000000,8.27799E-11
130120-1-2,[1- 3- 0- 1- 2- 0- 1- 0- 0- 2- 0- 0- 0],[576000- 1804800- 0- 576000- 1363200- 0- 0- 0- 0- 1766400- 0- 0- 0],[1- 3- 0- 1- 2- 0- 1- 2],[576000- 1804800- 0- 576000- 1363200- 0- 652800- 1766400],63.3971718133292,1848.82938487331,841747000000,7.53162E-11
310221-1-2,[3- 1- 0- 2- 2- 1- 1- 0- 0- 2- 0- 0- 0],[1804800- 576000- 0- 1363200- 1363200- 576000- 0- 0- 0- 1766400- 0- 0- 0],[3- 1- 0- 2- 2- 1- 1- 2],[1804800- 576000- 0- 1363200- 1363200- 576000- 652800- 1766400],65.5557580165811,1906.30074367027,890469000000,7.36194E-11
223111-1-3,[2- 2- 3- 1- 1- 1- 1- 0- 0- 3- 0- 0- 0],[1363200- 1363200- 1804800- 576000- 576000- 576000- 0- 0- 0- 2400000- 0- 0- 0],[2- 2- 3- 1- 1- 1- 1- 3],[1363200- 1363200- 1804800- 576000- 576000- 576000- 652800- 2400000],70.9803740450458,2036.14664936197,938774000000,7.56097E-11
132020-2-0,[1- 3- 2- 0- 2- 0- 2- 0- 0- 0- 0- 0- 0],[576000- 1804800- 1363200- 0- 1363200- 0- 0- 0- 0- 0- 0- 0- 0],[1- 3- 2- 0- 2- 0- 2- 0],[576000- 1804800- 1363200- 0- 1363200- 0- 1478400- 0],45.3072604814401,1331.87814430662,575478000000,7.87298E-11
221303-0-2,[2- 2- 1- 3- 0- 3- 0- 0- 0- 2- 0- 0- 0],[1363200- 1363200- 576000- 1804800- 0- 1804800- 0- 0- 0- 1766400- 0- 0- 0],[2- 2- 1- 3- 0- 3- 0- 2],[1363200- 1363200- 576000- 1804800- 0- 1804800- 0- 1766400],75.8036384393518,2191.79500900324,1038170000000,7.30166E-11
300010-0-1,[3- 0- 0- 0- 1- 0- 0- 0- 0- 1- 0- 0- 0],[1804800- 0- 0- 0- 576000- 0- 0- 0- 0- 806400- 0- 0- 0],[3- 0- 0- 0- 1- 0- 0- 1],[1804800- 0- 0- 0- 576000- 0- 0- 806400],32.1912867561494,975.724684697627,296221000000,1.08673E-10
223132-3-1,[2- 2- 3- 1- 3- 2- 3- 0- 0- 1- 0- 0- 0],[1363200- 1363200- 1804800- 576000- 1804800- 1363200- 0- 0- 0- 806400- 0- 0- 0],[2- 2- 3- 1- 3- 2- 3- 1],[1363200- 1363200- 1804800- 576000- 1804800- 1363200- 2208000- 806400],79.3720923830505,2267.3604267642,1253340000000,6.33285E-11
232302-1-2,[2- 3- 2- 3- 0- 2- 1- 0- 0- 2- 0- 0- 0],[1363200- 1804800- 1363200- 1804800- 0- 1363200- 0- 0- 0- 1766400- 0- 0- 0],[2- 3- 2- 3- 0- 2- 1- 2],[1363200- 1804800- 1363200- 1804800- 0- 1363200- 652800- 1766400],75.2161891555095,2161.20447880785,1098030000000,6.8501E-11
203231-0-3,[2- 0- 3- 2- 3- 1- 0- 0- 0- 3- 0- 0- 0],[1363200- 0- 1804800- 1363200- 1804800- 576000- 0- 0- 0- 2400000- 0- 0- 0],[2- 0- 3- 2- 3- 1- 0- 3],[1363200- 0- 1804800- 1363200- 1804800- 576000- 0- 2400000],58.0655432702143,1703.88744116384,702004000000,8.2714E-11
220021-0-2,[2- 2- 0- 0- 2- 1- 0- 0- 0- 2- 0- 0- 0],[1363200- 1363200- 0- 0- 1363200- 576000- 0- 0- 0- 1766400- 0- 0- 0],[2- 2- 0- 0- 2- 1- 0- 2],[1363200- 1363200- 0- 0- 1363200- 576000- 0- 1766400],56.004272107212,1630.6115263799,659934000000,8.48634E-11
103011-1-2,[1- 0- 3- 0- 1- 1- 1- 0- 0- 2- 0- 0- 0],[576000- 0- 1804800- 0- 576000- 576000- 0- 0- 0- 1766400- 0- 0- 0],[1- 0- 3- 0- 1- 1- 1- 2],[576000- 0- 1804800- 0- 576000- 576000- 652800- 1766400],64.7867353921133,1887.8542751839,836960000000,7.74072E-11
003021-2-2,[0- 0- 3- 0- 2- 1- 2- 0- 0- 2- 0- 0- 0],[0- 0- 1804800- 0- 1363200- 576000- 0- 0- 0- 1766400- 0- 0- 0],[0- 0- 3- 0- 2- 1- 2- 2],[0- 0- 1804800- 0- 1363200- 576000- 1478400- 1766400],73.393325791739,2108.3343497435,995211000000,7.37465E-11
031210-2-1,[0- 3- 1- 2- 1- 0- 2- 0- 0- 1- 0- 0- 0],[0- 1804800- 576000- 1363200- 576000- 0- 0- 0- 0- 806400- 0- 0- 0],[0- 3- 1- 2- 1- 0- 2- 1],[0- 1804800- 576000- 1363200- 576000- 0- 1478400- 806400],57.8940253640561,1708.0342621472,795670000000,7.27614E-11
122013-2-2,[1- 2- 2- 0- 1- 3- 2- 0- 0- 2- 0- 0- 0],[576000- 1363200- 1363200- 0- 576000- 1804800- 0- 0- 0- 1766400- 0- 0- 0],[1- 2- 2- 0- 1- 3- 2- 2],[576000- 1363200- 1363200- 0- 576000- 1804800- 1478400- 1766400],75.3926735584727,2160.59171856054,1154450000000,6.53061E-11
130103-0-0,[1- 3- 0- 1- 0- 3- 0- 0- 0- 0- 0- 0- 0],[576000- 1804800- 0- 576000- 0- 1804800- 0- 0- 0- 0- 0- 0- 0],[1- 3- 0- 1- 0- 3- 0- 0],[576000- 1804800- 0- 576000- 0- 1804800- 0- 0],38.6438793260726,1149.5860113844,410896000000,9.40478E-11
031030-3-2,[0- 3- 1- 0- 3- 0- 3- 0- 0- 2- 0- 0- 0],[0- 1804800- 576000- 0- 1804800- 0- 0- 0- 0- 1766400- 0- 0- 0],[0- 3- 1- 0- 3- 0- 3- 2],[0- 1804800- 576000- 0- 1804800- 0- 2208000- 1766400],16.3307947163033,503.625203352677,116019000000,1.4076E-10
123230-1-0,[1- 2- 3- 2- 3- 0- 1- 0- 0- 0- 0- 0- 0],[576000- 1363200- 1804800- 1363200- 1804800- 0- 0- 0- 0- 0- 0- 0- 0],[1- 2- 3- 2- 3- 0- 1- 0],[576000- 1363200- 1804800- 1363200- 1804800- 0- 652800- 0],13.4893048354332,413.744361149908,75662100000,1.78284E-10
232202-0-1,[2- 3- 2- 2- 0- 2- 0- 0- 0- 1- 0- 0- 0],[1363200- 1804800- 1363200- 1363200- 0- 1363200- 0- 0- 0- 806400- 0- 0- 0],[2- 3- 2- 2- 0- 2- 0- 1],[1363200- 1804800- 1363200- 1363200- 0- 1363200- 0- 806400],18.3191369059882,558.347775598573,188126000000,9.7377E-11
310231-3-3,[3- 1- 0- 2- 3- 1- 3- 0- 0- 3- 0- 0- 0],[1804800- 576000- 0- 1363200- 1804800- 576000- 0- 0- 0- 2400000- 0- 0- 0],[3- 1- 0- 2- 3- 1- 3- 3],[1804800- 576000- 0- 1363200- 1804800- 576000- 2208000- 2400000],14.0838858431668,434.231525898343,75472200000,1.8661E-10
332330-2-3,[3- 3- 2- 3- 3- 0- 2- 0- 0- 3- 0- 0- 0],[1804800- 1804800- 1363200- 1804800- 1804800- 0- 0- 0- 0- 2400000- 0- 0- 0],[3- 3- 2- 3- 3- 0- 2- 3],[1804800- 1804800- 1363200- 1804800- 1804800- 0- 1478400- 2400000],13.9697963651223,419.523224360775,75619700000,1.84738E-10
133131-2-0,[1- 3- 3- 1- 3- 1- 2- 0- 0- 0- 0- 0- 0],[576000- 1804800- 1804800- 576000- 1804800- 576000- 0- 0- 0- 0- 0- 0- 0],[1- 3- 3- 1- 3- 1- 2- 0],[576000- 1804800- 1804800- 576000- 1804800- 576000- 1478400- 0],13.7189335182749,408.285878833296,75791800000,1.81008E-10
102010-2-3,[1- 0- 2- 0- 1- 0- 2- 0- 0- 3- 0- 0- 0],[576000- 0- 1363200- 0- 576000- 0- 0- 0- 0- 2400000- 0- 0- 0],[1- 0- 2- 0- 1- 0- 2- 3],[576000- 0- 1363200- 0- 576000- 0- 1478400- 2400000],12.9248547023353,396.064970804333,76037200000,1.69981E-10
322333-2-2,[3- 2- 2- 3- 3- 3- 2- 0- 0- 2- 0- 0- 0],[1804800- 1363200- 1363200- 1804800- 1804800- 1804800- 0- 0- 0- 1766400- 0- 0- 0],[3- 2- 2- 3- 3- 3- 2- 2],[1804800- 1363200- 1363200- 1804800- 1804800- 1804800- 1478400- 1766400],25.3623210355619,760.418445407865,250600000000,1.01206E-10
131002-2-3,[1- 3- 1- 0- 0- 2- 2- 0- 0- 3- 0- 0- 0],[576000- 1804800- 576000- 0- 0- 1363200- 0- 0- 0- 2400000- 0- 0- 0],[1- 3- 1- 0- 0- 2- 2- 3],[576000- 1804800- 576000- 0- 0- 1363200- 1478400- 2400000],18.1188341516786,550.856369056302,188485000000,9.61288E-11
321032-1-3,[3- 2- 1- 0- 3- 2- 1- 0- 0- 3- 0- 0- 0],[1804800- 1363200- 576000- 0- 1804800- 1363200- 0- 0- 0- 2400000- 0- 0- 0],[3- 2- 1- 0- 3- 2- 1- 3],[1804800- 1363200- 576000- 0- 1804800- 1363200- 652800- 2400000],17.9776183946517,547.335510357609,188372000000,9.54368E-11
032033-1-2,[0- 3- 2- 0- 3- 3- 1- 0- 0- 2- 0- 0- 0],[0- 1804800- 1363200- 0- 1804800- 1804800- 0- 0- 0- 1766400- 0- 0- 0],[0- 3- 2- 0- 3- 3- 1- 2],[0- 1804800- 1363200- 0- 1804800- 1804800- 652800- 1766400],24.5924899083227,745.507520977074,252710000000,9.73151E-11
030211-3-2,[0- 3- 0- 2- 1- 1- 3- 0- 0- 2- 0- 0- 0],[0- 1804800- 0- 1363200- 576000- 576000- 0- 0- 0- 1766400- 0- 0- 0],[0- 3- 0- 2- 1- 1- 3- 2],[0- 1804800- 0- 1363200- 576000- 576000- 2208000- 1766400],13.6504873016518,422.496232212593,75350800000,1.81159E-10
223202-3-2,[2- 2- 3- 2- 0- 2- 3- 0- 0- 2- 0- 0- 0],[1363200- 1363200- 1804800- 1363200- 0- 1363200- 0- 0- 0- 1766400- 0- 0- 0],[2- 2- 3- 2- 0- 2- 3- 2],[1363200- 1363200- 1804800- 1363200- 0- 1363200- 2208000- 1766400],17.984386490349,539.530074808529,188258000000,9.55305E-11
120330-0-0,[1- 2- 0- 3- 3- 0- 0- 0- 0- 0- 0- 0- 0],[576000- 1363200- 0- 1804800- 1804800- 0- 0- 0- 0- 0- 0- 0- 0],[1- 2- 0- 3- 3- 0- 0- 0],[576000- 1363200- 0- 1804800- 1804800- 0- 0- 0],13.8323700917135,411.984218836576,76579500000,1.80628E-10
123122-1-2,[1- 2- 3- 1- 2- 2- 1- 0- 0- 2- 0- 0- 0],[576000- 1363200- 1804800- 576000- 1363200- 1363200- 0- 0- 0- 1766400- 0- 0- 0],[1- 2- 3- 1- 2- 2- 1- 2],[576000- 1363200- 1804800- 576000- 1363200- 1363200- 652800- 1766400],17.8171709875973,544.461115773839,187451000000,9.50498E-11
021212-1-1,[0- 2- 1- 2- 1- 2- 1- 0- 0- 1- 0- 0- 0],[0- 1363200- 576000- 1363200- 576000- 1363200- 0- 0- 0- 806400- 0- 0- 0],[0- 2- 1- 2- 1- 2- 1- 1],[0- 1363200- 576000- 1363200- 576000- 1363200- 652800- 806400],17.8136328789872,547.225988212559,188320000000,9.45924E-11
303001-3-0,[3- 0- 3- 0- 0- 1- 3- 0- 0- 0- 0- 0- 0],[1804800- 0- 1804800- 0- 0- 576000- 0- 0- 0- 0- 0- 0- 0],[3- 0- 3- 0- 0- 1- 3- 0],[1804800- 0- 1804800- 0- 0- 576000- 2208000- 0],14.4399767950293,438.976034527161,76577300000,1.88567E-10
033333-0-0,[0- 3- 3- 3- 3- 3- 0- 0- 0- 0- 0- 0- 0],[0- 1804800- 1804800- 1804800- 1804800- 1804800- 0- 0- 0- 0- 0- 0- 0],[0- 3- 3- 3- 3- 3- 0- 0],[0- 1804800- 1804800- 1804800- 1804800- 1804800- 0- 0],24.0280687781385,730.411225048072,252880000000,9.50177E-11
