configurations,generic format,exact frequency,google pixel format,exact frequencies,phone energy,phone power,workload,energy by workload
320303-1-1,[3- 2- 0- 3- 0- 3- 1- 0- 0- 1- 0- 0- 0],[1804800- 1363200- 0- 1804800- 0- 1804800- 0- 0- 0- 806400- 0- 0- 0],[3- 2- 0- 3- 0- 3- 1- 1],[1804800- 1363200- 0- 1804800- 0- 1804800- 652800- 806400],66.12237864852598,1936.4728136678461,9.27239e+11,7.1311e-11
221213-3-0,[2- 2- 1- 2- 1- 3- 3- 0- 0- 0- 0- 0- 0],[1363200- 1363200- 576000- 1363200- 576000- 1804800- 0- 0- 0- 0- 0- 0- 0],[2- 2- 1- 2- 1- 3- 3- 0],[1363200- 1363200- 576000- 1363200- 576000- 1804800- 2208000- 0],83.8569021514259,2400.2180658143675,1.18317e+12,7.08748e-11
022202-2-2,[0- 2- 2- 2- 0- 2- 2- 0- 0- 2- 0- 0- 0],[0- 1363200- 1363200- 1363200- 0- 1363200- 0- 0- 0- 1766400- 0- 0- 0],[0- 2- 2- 2- 0- 2- 2- 2],[0- 1363200- 1363200- 1363200- 0- 1363200- 1478400- 1766400],86.55908372523825,2477.3210999376884,1.30426e+12,6.63664e-11
200331-1-0,[2- 0- 0- 3- 3- 1- 1- 0- 0- 0- 0- 0- 0],[1363200- 0- 0- 1804800- 1804800- 576000- 0- 0- 0- 0- 0- 0- 0],[2- 0- 0- 3- 3- 1- 1- 0],[1363200- 0- 0- 1804800- 1804800- 576000- 652800- 0],31.96295936672102,963.8682638195704,3.40806e+11,9.37864e-11
202023-3-1,[2- 0- 2- 0- 2- 3- 3- 0- 0- 1- 0- 0- 0],[1363200- 0- 1363200- 0- 1363200- 1804800- 0- 0- 0- 806400- 0- 0- 0],[2- 0- 2- 0- 2- 3- 3- 1],[1363200- 0- 1363200- 0- 1363200- 1804800- 2208000- 806400],87.10137841468074,2490.657949317467,1.16536e+12,7.4742e-11
301211-1-3,[3- 0- 1- 2- 1- 1- 1- 0- 0- 3- 0- 0- 0],[1804800- 0- 576000- 1363200- 576000- 576000- 0- 0- 0- 2400000- 0- 0- 0],[3- 0- 1- 2- 1- 1- 1- 3],[1804800- 0- 576000- 1363200- 576000- 576000- 652800- 2400000],77.79688045119694,2261.4860473937442,9.56304e+11,8.13516e-11
001220-1-1,[0- 0- 1- 2- 2- 0- 1- 0- 0- 1- 0- 0- 0],[0- 0- 576000- 1363200- 1363200- 0- 0- 0- 0- 806400- 0- 0- 0],[0- 0- 1- 2- 2- 0- 1- 1],[0- 0- 576000- 1363200- 1363200- 0- 652800- 806400],37.62672702026895,1146.400761965295,5.04359e+11,7.46031e-11
313210-1-1,[3- 1- 3- 2- 1- 0- 1- 0- 0- 1- 0- 0- 0],[1804800- 576000- 1804800- 1363200- 576000- 0- 0- 0- 0- 806400- 0- 0- 0],[3- 1- 3- 2- 1- 0- 1- 1],[1804800- 576000- 1804800- 1363200- 576000- 0- 652800- 806400],40.707805921643576,1227.2388147240413,6.07029e+11,6.70607e-11
230332-3-3,[2- 3- 0- 3- 3- 2- 3- 0- 0- 3- 0- 0- 0],[1363200- 1804800- 0- 1804800- 1804800- 1363200- 0- 0- 0- 2400000- 0- 0- 0],[2- 3- 0- 3- 3- 2- 3- 3],[1363200- 1804800- 0- 1804800- 1804800- 1363200- 2208000- 2400000],99.56004804973213,2811.9589146347744,1.41905e+12,7.01596e-11
032102-2-3,[0- 3- 2- 1- 0- 2- 2- 0- 0- 3- 0- 0- 0],[0- 1804800- 1363200- 576000- 0- 1363200- 0- 0- 0- 2400000- 0- 0- 0],[0- 3- 2- 1- 0- 2- 2- 3],[0- 1804800- 1363200- 576000- 0- 1363200- 1478400- 2400000],91.64266045689709,2603.2322654271584,1.32222e+12,6.93097e-11
000100-0-2,[0- 0- 0- 1- 0- 0- 0- 0- 0- 2- 0- 0- 0],[0- 0- 0- 576000- 0- 0- 0- 0- 0- 1766400- 0- 0- 0],[0- 0- 0- 1- 0- 0- 0- 2],[0- 0- 0- 576000- 0- 0- 0- 1766400],49.6365268588524,1468.345612579537,5.11186e+11,9.71007e-11
011001-2-1,[0- 1- 1- 0- 0- 1- 2- 0- 0- 1- 0- 0- 0],[0- 576000- 576000- 0- 0- 576000- 0- 0- 0- 806400- 0- 0- 0],[0- 1- 1- 0- 0- 1- 2- 1],[0- 576000- 576000- 0- 0- 576000- 1478400- 806400],55.62139896793428,1646.7846067539651,7.53627e+11,7.38049e-11
223312-3-2,[2- 2- 3- 3- 1- 2- 3- 0- 0- 2- 0- 0- 0],[1363200- 1363200- 1804800- 1804800- 576000- 1363200- 0- 0- 0- 1766400- 0- 0- 0],[2- 2- 3- 3- 1- 2- 3- 2],[1363200- 1363200- 1804800- 1804800- 576000- 1363200- 2208000- 1766400],100.44256053548322,2824.6459751833872,1.54548e+12,6.49912e-11
230202-2-3,[2- 3- 0- 2- 0- 2- 2- 0- 0- 3- 0- 0- 0],[1363200- 1804800- 0- 1363200- 0- 1363200- 0- 0- 0- 2400000- 0- 0- 0],[2- 3- 0- 2- 0- 2- 2- 3],[1363200- 1804800- 0- 1363200- 0- 1363200- 1478400- 2400000],91.04108716316011,2595.5909447325685,1.32631e+12,6.86424e-11
211132-1-3,[2- 1- 1- 1- 3- 2- 1- 0- 0- 3- 0- 0- 0],[1363200- 576000- 576000- 576000- 1804800- 1363200- 0- 0- 0- 2400000- 0- 0- 0],[2- 1- 1- 1- 3- 2- 1- 3],[1363200- 576000- 576000- 576000- 1804800- 1363200- 652800- 2400000],85.86709418709174,2448.7041116925584,1.28652e+12,6.67437e-11
021121-3-1,[0- 2- 1- 1- 2- 1- 3- 0- 0- 1- 0- 0- 0],[0- 1363200- 576000- 576000- 1363200- 576000- 0- 0- 0- 806400- 0- 0- 0],[0- 2- 1- 1- 2- 1- 3- 1],[0- 1363200- 576000- 576000- 1363200- 576000- 2208000- 806400],68.27709347003412,1990.7323666351917,9.17298e+11,7.44328e-11
212300-2-2,[2- 1- 2- 3- 0- 0- 2- 0- 0- 2- 0- 0- 0],[1363200- 576000- 1363200- 1804800- 0- 0- 0- 0- 0- 1766400- 0- 0- 0],[2- 1- 2- 3- 0- 0- 2- 2],[1363200- 576000- 1363200- 1804800- 0- 0- 1478400- 1766400],73.5143630448687,2137.3925877191286,1.07541e+12,6.83594e-11
111030-0-1,[1- 1- 1- 0- 3- 0- 0- 0- 0- 1- 0- 0- 0],[576000- 576000- 576000- 0- 1804800- 0- 0- 0- 0- 806400- 0- 0- 0],[1- 1- 1- 0- 3- 0- 0- 1],[576000- 576000- 576000- 0- 1804800- 0- 0- 806400],34.531211142434685,1035.0072728988853,3.86527e+11,8.93371e-11
010133-2-2,[0- 1- 0- 1- 3- 3- 2- 0- 0- 2- 0- 0- 0],[0- 576000- 0- 576000- 1804800- 1804800- 0- 0- 0- 1766400- 0- 0- 0],[0- 1- 0- 1- 3- 3- 2- 2],[0- 576000- 0- 576000- 1804800- 1804800- 1478400- 1766400],98.08558334376599,2777.26130195998,1.39222e+12,7.04526e-11
003011-1-0,[0- 0- 3- 0- 1- 1- 1- 0- 0- 0- 0- 0- 0],[0- 0- 1804800- 0- 576000- 576000- 0- 0- 0- 0- 0- 0- 0],[0- 0- 3- 0- 1- 1- 1- 0],[0- 0- 1804800- 0- 576000- 576000- 652800- 0],30.734807722364668,925.9066087568908,2.96054e+11,1.03815e-10
012213-0-2,[0- 1- 2- 2- 1- 3- 0- 0- 0- 2- 0- 0- 0],[0- 576000- 1363200- 1363200- 576000- 1804800- 0- 0- 0- 1766400- 0- 0- 0],[0- 1- 2- 2- 1- 3- 0- 2],[0- 576000- 1363200- 1363200- 576000- 1804800- 0- 1766400],89.67295919976871,2554.1940998458344,1.15772e+12,7.74565e-11
210002-1-0,[2- 1- 0- 0- 0- 2- 1- 0- 0- 0- 0- 0- 0],[1363200- 576000- 0- 0- 0- 1363200- 0- 0- 0- 0- 0- 0- 0],[2- 1- 0- 0- 0- 2- 1- 0],[1363200- 576000- 0- 0- 0- 1363200- 652800- 0],37.3545557848716,1113.3548735260715,4.65769e+11,8.01997e-11
110333-0-3,[1- 1- 0- 3- 3- 3- 0- 0- 0- 3- 0- 0- 0],[576000- 576000- 0- 1804800- 1804800- 1804800- 0- 0- 0- 2400000- 0- 0- 0],[1- 1- 0- 3- 3- 3- 0- 3],[576000- 576000- 0- 1804800- 1804800- 1804800- 0- 2400000],92.82346734847745,2648.308503570544,1.14752e+12,8.08905e-11
213311-1-1,[2- 1- 3- 3- 1- 1- 1- 0- 0- 1- 0- 0- 0],[1363200- 576000- 1804800- 1804800- 576000- 576000- 0- 0- 0- 806400- 0- 0- 0],[2- 1- 3- 3- 1- 1- 1- 1],[1363200- 576000- 1804800- 1804800- 576000- 576000- 652800- 806400],40.36593190681932,1236.8665392188684,6.48988e+11,6.21983e-11
212232-3-3,[2- 1- 2- 2- 3- 2- 3- 0- 0- 3- 0- 0- 0],[1363200- 576000- 1363200- 1363200- 1804800- 1363200- 0- 0- 0- 2400000- 0- 0- 0],[2- 1- 2- 2- 3- 2- 3- 3],[1363200- 576000- 1363200- 1363200- 1804800- 1363200- 2208000- 2400000],98.71806225531626,2792.584289226704,1.44149e+12,6.84833e-11
210032-3-2,[2- 1- 0- 0- 3- 2- 3- 0- 0- 2- 0- 0- 0],[1363200- 576000- 0- 0- 1804800- 1363200- 0- 0- 0- 1766400- 0- 0- 0],[2- 1- 0- 0- 3- 2- 3- 2],[1363200- 576000- 0- 0- 1804800- 1363200- 2208000- 1766400],91.26660104513866,2593.4317595527373,1.33816e+12,6.82031e-11
201203-1-3,[2- 0- 1- 2- 0- 3- 1- 0- 0- 3- 0- 0- 0],[1363200- 0- 576000- 1363200- 0- 1804800- 0- 0- 0- 2400000- 0- 0- 0],[2- 0- 1- 2- 0- 3- 1- 3],[1363200- 0- 576000- 1363200- 0- 1804800- 652800- 2400000],83.98672527663341,2417.161966726316,1.12866e+12,7.44128e-11
011221-2-0,[0- 1- 1- 2- 2- 1- 2- 0- 0- 0- 0- 0- 0],[0- 576000- 576000- 1363200- 1363200- 576000- 0- 0- 0- 0- 0- 0- 0],[0- 1- 1- 2- 2- 1- 2- 0],[0- 576000- 576000- 1363200- 1363200- 576000- 1478400- 0],45.25936522348479,1354.771301563128,6.20979e+11,7.28839e-11
011301-0-2,[0- 1- 1- 3- 0- 1- 0- 0- 0- 2- 0- 0- 0],[0- 576000- 576000- 1804800- 0- 576000- 0- 0- 0- 1766400- 0- 0- 0],[0- 1- 1- 3- 0- 1- 0- 2],[0- 576000- 576000- 1804800- 0- 576000- 0- 1766400],53.13375305902614,1564.6151014125253,6.60057e+11,8.04987e-11
212310-2-0,[2- 1- 2- 3- 1- 0- 2- 0- 0- 0- 0- 0- 0],[1363200- 576000- 1363200- 1804800- 576000- 0- 0- 0- 0- 0- 0- 0- 0],[2- 1- 2- 3- 1- 0- 2- 0],[1363200- 576000- 1363200- 1804800- 576000- 0- 1478400- 0],45.07023497595242,1344.5970593853383,6.21352e+11,7.25358e-11
222230-0-2,[2- 2- 2- 2- 3- 0- 0- 0- 0- 2- 0- 0- 0],[1363200- 1363200- 1363200- 1363200- 1804800- 0- 0- 0- 0- 1766400- 0- 0- 0],[2- 2- 2- 2- 3- 0- 0- 2],[1363200- 1363200- 1363200- 1363200- 1804800- 0- 0- 1766400],54.89737027002233,1619.29627200473,7.05708e+11,7.77905e-11
311323-2-0,[3- 1- 1- 3- 2- 3- 2- 0- 0- 0- 0- 0- 0],[1804800- 576000- 576000- 1804800- 1363200- 1804800- 0- 0- 0- 0- 0- 0- 0],[3- 1- 1- 3- 2- 3- 2- 0],[1804800- 576000- 576000- 1804800- 1363200- 1804800- 1478400- 0],84.41510028409691,2424.585600294527,1.21551e+12,6.94483e-11
