configurations,generic format,exact frequency,samsung galaxy format,exact frequencies
3303-0033,[3- 3- 0- 3- 0- 0- 0- 0- 0- 0- 0- 3- 3],[1690000- 1690000- 0- 1690000- 0- 0- 0- 0- 0- 0- 0- 2314000- 2314000],[3- 3- 0- 3- 0- 0- 3- 3], [1690000- 1690000- 0- 1690000- 0- 0- 2314000- 2314000]
0200-3030,[0- 2- 0- 0- 0- 0- 0- 0- 0- 3- 0- 3- 0],[0- 1248000- 0- 0- 0- 0- 0- 0- 0- 2314000- 0- 2314000- 0],[0- 2- 0- 0- 3- 0- 3- 0], [0- 1248000- 0- 0- 2314000- 0- 2314000- 0]
2022-0001,[2- 0- 2- 2- 0- 0- 0- 0- 0- 0- 0- 0- 1],[1248000- 0- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 0- 0- 741000],[2- 0- 2- 2- 0- 0- 0- 1], [1248000- 0- 1248000- 1248000- 0- 0- 0- 741000]
2220-1011,[2- 2- 2- 0- 0- 0- 0- 0- 0- 1- 0- 1- 1],[1248000- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 741000- 0- 741000- 741000],[2- 2- 2- 0- 1- 0- 1- 1], [1248000- 1248000- 1248000- 0- 741000- 0- 741000- 741000]
0003-0200,[0- 0- 0- 3- 0- 0- 0- 0- 0- 0- 2- 0- 0],[0- 0- 0- 1690000- 0- 0- 0- 0- 0- 0- 1469000- 0- 0],[0- 0- 0- 3- 0- 2- 0- 0], [0- 0- 0- 1690000- 0- 1469000- 0- 0]
0000-0300,[0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 3- 0- 0],[0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 2314000- 0- 0],[0- 0- 0- 0- 0- 3- 0- 0], [0- 0- 0- 0- 0- 2314000- 0- 0]
1111-0200,[1- 1- 1- 1- 0- 0- 0- 0- 0- 0- 2- 0- 0],[598000- 598000- 598000- 598000- 0- 0- 0- 0- 0- 0- 1469000- 0- 0],[1- 1- 1- 1- 0- 2- 0- 0], [598000- 598000- 598000- 598000- 0- 1469000- 0- 0]
1110-1100,[1- 1- 1- 0- 0- 0- 0- 0- 0- 1- 1- 0- 0],[598000- 598000- 598000- 0- 0- 0- 0- 0- 0- 741000- 741000- 0- 0],[1- 1- 1- 0- 1- 1- 0- 0], [598000- 598000- 598000- 0- 741000- 741000- 0- 0]
0100-2022,[0- 1- 0- 0- 0- 0- 0- 0- 0- 2- 0- 2- 2],[0- 598000- 0- 0- 0- 0- 0- 0- 0- 1469000- 0- 1469000- 1469000],[0- 1- 0- 0- 2- 0- 2- 2], [0- 598000- 0- 0- 1469000- 0- 1469000- 1469000]
0003-0303,[0- 0- 0- 3- 0- 0- 0- 0- 0- 0- 3- 0- 3],[0- 0- 0- 1690000- 0- 0- 0- 0- 0- 0- 2314000- 0- 2314000],[0- 0- 0- 3- 0- 3- 0- 3], [0- 0- 0- 1690000- 0- 2314000- 0- 2314000]
1001-0330,[1- 0- 0- 1- 0- 0- 0- 0- 0- 0- 3- 3- 0],[598000- 0- 0- 598000- 0- 0- 0- 0- 0- 0- 2314000- 2314000- 0],[1- 0- 0- 1- 0- 3- 3- 0], [598000- 0- 0- 598000- 0- 2314000- 2314000- 0]
2200-0303,[2- 2- 0- 0- 0- 0- 0- 0- 0- 0- 3- 0- 3],[1248000- 1248000- 0- 0- 0- 0- 0- 0- 0- 0- 2314000- 0- 2314000],[2- 2- 0- 0- 0- 3- 0- 3], [1248000- 1248000- 0- 0- 0- 2314000- 0- 2314000]
1001-0010,[1- 0- 0- 1- 0- 0- 0- 0- 0- 0- 0- 1- 0],[598000- 0- 0- 598000- 0- 0- 0- 0- 0- 0- 0- 741000- 0],[1- 0- 0- 1- 0- 0- 1- 0], [598000- 0- 0- 598000- 0- 0- 741000- 0]
0300-1101,[0- 3- 0- 0- 0- 0- 0- 0- 0- 1- 1- 0- 1],[0- 1690000- 0- 0- 0- 0- 0- 0- 0- 741000- 741000- 0- 741000],[0- 3- 0- 0- 1- 1- 0- 1], [0- 1690000- 0- 0- 741000- 741000- 0- 741000]
0111-0220,[0- 1- 1- 1- 0- 0- 0- 0- 0- 0- 2- 2- 0],[0- 598000- 598000- 598000- 0- 0- 0- 0- 0- 0- 1469000- 1469000- 0],[0- 1- 1- 1- 0- 2- 2- 0], [0- 598000- 598000- 598000- 0- 1469000- 1469000- 0]
2220-3330,[2- 2- 2- 0- 0- 0- 0- 0- 0- 3- 3- 3- 0],[1248000- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 2314000- 2314000- 2314000- 0],[2- 2- 2- 0- 3- 3- 3- 0], [1248000- 1248000- 1248000- 0- 2314000- 2314000- 2314000- 0]
1000-0010,[1- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 1- 0],[598000- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 741000- 0],[1- 0- 0- 0- 0- 0- 1- 0], [598000- 0- 0- 0- 0- 0- 741000- 0]
1010-3003,[1- 0- 1- 0- 0- 0- 0- 0- 0- 3- 0- 0- 3],[598000- 0- 598000- 0- 0- 0- 0- 0- 0- 2314000- 0- 0- 2314000],[1- 0- 1- 0- 3- 0- 0- 3], [598000- 0- 598000- 0- 2314000- 0- 0- 2314000]
2202-3003,[2- 2- 0- 2- 0- 0- 0- 0- 0- 3- 0- 0- 3],[1248000- 1248000- 0- 1248000- 0- 0- 0- 0- 0- 2314000- 0- 0- 2314000],[2- 2- 0- 2- 3- 0- 0- 3], [1248000- 1248000- 0- 1248000- 2314000- 0- 0- 2314000]
2220-2000,[2- 2- 2- 0- 0- 0- 0- 0- 0- 2- 0- 0- 0],[1248000- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 1469000- 0- 0- 0],[2- 2- 2- 0- 2- 0- 0- 0], [1248000- 1248000- 1248000- 0- 1469000- 0- 0- 0]
0101-3330,[0- 1- 0- 1- 0- 0- 0- 0- 0- 3- 3- 3- 0],[0- 598000- 0- 598000- 0- 0- 0- 0- 0- 2314000- 2314000- 2314000- 0],[0- 1- 0- 1- 3- 3- 3- 0], [0- 598000- 0- 598000- 2314000- 2314000- 2314000- 0]
2022-3300,[2- 0- 2- 2- 0- 0- 0- 0- 0- 3- 3- 0- 0],[1248000- 0- 1248000- 1248000- 0- 0- 0- 0- 0- 2314000- 2314000- 0- 0],[2- 0- 2- 2- 3- 3- 0- 0], [1248000- 0- 1248000- 1248000- 2314000- 2314000- 0- 0]
1010-1001,[1- 0- 1- 0- 0- 0- 0- 0- 0- 1- 0- 0- 1],[598000- 0- 598000- 0- 0- 0- 0- 0- 0- 741000- 0- 0- 741000],[1- 0- 1- 0- 1- 0- 0- 1], [598000- 0- 598000- 0- 741000- 0- 0- 741000]
3000-0000,[3- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1690000- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[3- 0- 0- 0- 0- 0- 0- 0], [1690000- 0- 0- 0- 0- 0- 0- 0]
3333-1101,[3- 3- 3- 3- 0- 0- 0- 0- 0- 1- 1- 0- 1],[1690000- 1690000- 1690000- 1690000- 0- 0- 0- 0- 0- 741000- 741000- 0- 741000],[3- 3- 3- 3- 1- 1- 0- 1], [1690000- 1690000- 1690000- 1690000- 741000- 741000- 0- 741000]
0220-0300,[0- 2- 2- 0- 0- 0- 0- 0- 0- 0- 3- 0- 0],[0- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 0- 2314000- 0- 0],[0- 2- 2- 0- 0- 3- 0- 0], [0- 1248000- 1248000- 0- 0- 2314000- 0- 0]
2000-3030,[2- 0- 0- 0- 0- 0- 0- 0- 0- 3- 0- 3- 0],[1248000- 0- 0- 0- 0- 0- 0- 0- 0- 2314000- 0- 2314000- 0],[2- 0- 0- 0- 3- 0- 3- 0], [1248000- 0- 0- 0- 2314000- 0- 2314000- 0]
1100-2200,[1- 1- 0- 0- 0- 0- 0- 0- 0- 2- 2- 0- 0],[598000- 598000- 0- 0- 0- 0- 0- 0- 0- 1469000- 1469000- 0- 0],[1- 1- 0- 0- 2- 2- 0- 0], [598000- 598000- 0- 0- 1469000- 1469000- 0- 0]
3330-0101,[3- 3- 3- 0- 0- 0- 0- 0- 0- 0- 1- 0- 1],[1690000- 1690000- 1690000- 0- 0- 0- 0- 0- 0- 0- 741000- 0- 741000],[3- 3- 3- 0- 0- 1- 0- 1], [1690000- 1690000- 1690000- 0- 0- 741000- 0- 741000]
3300-1001,[3- 3- 0- 0- 0- 0- 0- 0- 0- 1- 0- 0- 1],[1690000- 1690000- 0- 0- 0- 0- 0- 0- 0- 741000- 0- 0- 741000],[3- 3- 0- 0- 1- 0- 0- 1], [1690000- 1690000- 0- 0- 741000- 0- 0- 741000]
0222-0022,[0- 2- 2- 2- 0- 0- 0- 0- 0- 0- 0- 2- 2],[0- 1248000- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 0- 1469000- 1469000],[0- 2- 2- 2- 0- 0- 2- 2], [0- 1248000- 1248000- 1248000- 0- 0- 1469000- 1469000]
1111-3000,[1- 1- 1- 1- 0- 0- 0- 0- 0- 3- 0- 0- 0],[598000- 598000- 598000- 598000- 0- 0- 0- 0- 0- 2314000- 0- 0- 0],[1- 1- 1- 1- 3- 0- 0- 0], [598000- 598000- 598000- 598000- 2314000- 0- 0- 0]
2202-1101,[2- 2- 0- 2- 0- 0- 0- 0- 0- 1- 1- 0- 1],[1248000- 1248000- 0- 1248000- 0- 0- 0- 0- 0- 741000- 741000- 0- 741000],[2- 2- 0- 2- 1- 1- 0- 1], [1248000- 1248000- 0- 1248000- 741000- 741000- 0- 741000]
0000-1100,[0- 0- 0- 0- 0- 0- 0- 0- 0- 1- 1- 0- 0],[0- 0- 0- 0- 0- 0- 0- 0- 0- 741000- 741000- 0- 0],[0- 0- 0- 0- 1- 1- 0- 0], [0- 0- 0- 0- 741000- 741000- 0- 0]
1001-3030,[1- 0- 0- 1- 0- 0- 0- 0- 0- 3- 0- 3- 0],[598000- 0- 0- 598000- 0- 0- 0- 0- 0- 2314000- 0- 2314000- 0],[1- 0- 0- 1- 3- 0- 3- 0], [598000- 0- 0- 598000- 2314000- 0- 2314000- 0]
3030-1000,[3- 0- 3- 0- 0- 0- 0- 0- 0- 1- 0- 0- 0],[1690000- 0- 1690000- 0- 0- 0- 0- 0- 0- 741000- 0- 0- 0],[3- 0- 3- 0- 1- 0- 0- 0], [1690000- 0- 1690000- 0- 741000- 0- 0- 0]
1111-0000,[1- 1- 1- 1- 0- 0- 0- 0- 0- 0- 0- 0- 0],[598000- 598000- 598000- 598000- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1- 1- 1- 1- 0- 0- 0- 0], [598000- 598000- 598000- 598000- 0- 0- 0- 0]
0101-1011,[0- 1- 0- 1- 0- 0- 0- 0- 0- 1- 0- 1- 1],[0- 598000- 0- 598000- 0- 0- 0- 0- 0- 741000- 0- 741000- 741000],[0- 1- 0- 1- 1- 0- 1- 1], [0- 598000- 0- 598000- 741000- 0- 741000- 741000]
0100-3303,[0- 1- 0- 0- 0- 0- 0- 0- 0- 3- 3- 0- 3],[0- 598000- 0- 0- 0- 0- 0- 0- 0- 2314000- 2314000- 0- 2314000],[0- 1- 0- 0- 3- 3- 0- 3], [0- 598000- 0- 0- 2314000- 2314000- 0- 2314000]
3000-3303,[3- 0- 0- 0- 0- 0- 0- 0- 0- 3- 3- 0- 3],[1690000- 0- 0- 0- 0- 0- 0- 0- 0- 2314000- 2314000- 0- 2314000],[3- 0- 0- 0- 3- 3- 0- 3], [1690000- 0- 0- 0- 2314000- 2314000- 0- 2314000]
0002-0002,[0- 0- 0- 2- 0- 0- 0- 0- 0- 0- 0- 0- 2],[0- 0- 0- 1248000- 0- 0- 0- 0- 0- 0- 0- 0- 1469000],[0- 0- 0- 2- 0- 0- 0- 2], [0- 0- 0- 1248000- 0- 0- 0- 1469000]
2200-1000,[2- 2- 0- 0- 0- 0- 0- 0- 0- 1- 0- 0- 0],[1248000- 1248000- 0- 0- 0- 0- 0- 0- 0- 741000- 0- 0- 0],[2- 2- 0- 0- 1- 0- 0- 0], [1248000- 1248000- 0- 0- 741000- 0- 0- 0]
2220-0033,[2- 2- 2- 0- 0- 0- 0- 0- 0- 0- 0- 3- 3],[1248000- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 0- 0- 2314000- 2314000],[2- 2- 2- 0- 0- 0- 3- 3], [1248000- 1248000- 1248000- 0- 0- 0- 2314000- 2314000]
0100-1110,[0- 1- 0- 0- 0- 0- 0- 0- 0- 1- 1- 1- 0],[0- 598000- 0- 0- 0- 0- 0- 0- 0- 741000- 741000- 741000- 0],[0- 1- 0- 0- 1- 1- 1- 0], [0- 598000- 0- 0- 741000- 741000- 741000- 0]
1010-2000,[1- 0- 1- 0- 0- 0- 0- 0- 0- 2- 0- 0- 0],[598000- 0- 598000- 0- 0- 0- 0- 0- 0- 1469000- 0- 0- 0],[1- 0- 1- 0- 2- 0- 0- 0], [598000- 0- 598000- 0- 1469000- 0- 0- 0]
2002-1110,[2- 0- 0- 2- 0- 0- 0- 0- 0- 1- 1- 1- 0],[1248000- 0- 0- 1248000- 0- 0- 0- 0- 0- 741000- 741000- 741000- 0],[2- 0- 0- 2- 1- 1- 1- 0], [1248000- 0- 0- 1248000- 741000- 741000- 741000- 0]
3033-1000,[3- 0- 3- 3- 0- 0- 0- 0- 0- 1- 0- 0- 0],[1690000- 0- 1690000- 1690000- 0- 0- 0- 0- 0- 741000- 0- 0- 0],[3- 0- 3- 3- 1- 0- 0- 0], [1690000- 0- 1690000- 1690000- 741000- 0- 0- 0]
0111-2220,[0- 1- 1- 1- 0- 0- 0- 0- 0- 2- 2- 2- 0],[0- 598000- 598000- 598000- 0- 0- 0- 0- 0- 1469000- 1469000- 1469000- 0],[0- 1- 1- 1- 2- 2- 2- 0], [0- 598000- 598000- 598000- 1469000- 1469000- 1469000- 0]
0100-0002,[0- 1- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 2],[0- 598000- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 1469000],[0- 1- 0- 0- 0- 0- 0- 2], [0- 598000- 0- 0- 0- 0- 0- 1469000]
1110-2220,[1- 1- 1- 0- 0- 0- 0- 0- 0- 2- 2- 2- 0],[598000- 598000- 598000- 0- 0- 0- 0- 0- 0- 1469000- 1469000- 1469000- 0],[1- 1- 1- 0- 2- 2- 2- 0], [598000- 598000- 598000- 0- 1469000- 1469000- 1469000- 0]
